"","Messy_Demographics.District","Messy_Demographics.Pop_Occupied"
"1","SANTA MARIA DEL MAR","985"
"2","CIENEGUILLA","33893"
"3","LURIN","88381"
"4","PACHACAMAC","109003"
"5","PUCUSANA","14486"
"6","CARABAYLLO","330190"
"7","PUNTA HERMOSA","15596"
"8","PUNTA NEGRA","6783"
"9","SAN BARTOLO","7239"
"10","PUENTE PIEDRA","325718"
"11","SAN JUAN DE MIRAFLORES","350551"
"12","SANTIAGO DE SURCO","325101"
"13","VILLA EL SALVADOR","389331"
"14","ANCON","56633"
"15","ATE","593014"
"16","CHACLACAYO","41746"
"17","CHORRILLOS","308114"
"18","VILLA MARIA DEL TRIUNFO","393360"
"19","SAN MARTIN DE PORRES","645313"
"20","COMAS","514358"
"21","EL AGUSTINO","196285"
"22","LA MOLINA","139654"
"23","LOS OLIVOS","322115"
"24","LURIGANCHO","237119"
"25","MIRAFLORES","97322"
"26","JESUS MARIA","71530"
"27","LINCE","54119"
"28","MAGDALENA DEL MAR","59059"
"29","SANTA ROSA","27581"
"30","PUEBLO LIBRE","82756"
"31","SAN BORJA","111015"
"32","SAN LUIS","51017"
"33","SAN MIGUEL","152265"
"34","SANTA ANITA","194220"
"35","SURQUILLO","88951"
"36","BRENA","83048"
"37","RIMAC","172017"
"38","INDEPENDENCIA","209079"
"39","SAN JUAN DE LURIGANCHO","1012181"
"40","SAN ISIDRO","59872"
"41","LA VICTORIA","169717"
"42","BARRANCO","33818"
"43","LIMA","261864"
